country;population;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling
Slovakia;5474881;48088;114;83.3;0;56.3;100;16;99;35.32;89.8;90.9;13.7;89.8;70.5;27.5;8.4;12
Slovenia;2117072;20140;105;91.9;82.162;55.4;98.1;14;98;12.57;94.2;90.5;21.9;94.2;76.3;36.9;16.1;13
Solomon Islands;838645;27990;30;0;73.628;0;0;0;0;0;0;0;0;0;0;0;0;0
Somalia;19654739;627340;31;0;58.872;0;0;0;0;0;0;0;0;0;0;0;0;0
South Africa;64747319;1213090;53;65.1;65.324;35.1;2.9;20;94;435.94;82.4;78.8;24.9;82.4;61.3;11.7;2.7;13
South Korea;51667029;97230;531;93.8;83.772;60.7;86.6;24;99;616.06;91.5;89;23.3;91.5;73.4;39.7;34.7;13
South Sudan;12188788;610952;20;0;59.24;38.5;0;0;0;0;0;0;0;0;0;0;0;0
Spain;47889958;498800;96;89.9;84.246;49;73.6;9;100;233.65;94.3;90.6;20.2;94.3;74.2;36;32.5;11
Sri Lanka;23229470;62710;370;80.7;77.892;46;40.7;24;47;20.77;80.2;70.4;36;80.2;38.1;11;2.9;11
Sudan;51662147;1765048;29;65.4;66.518;38.5;49.7;21;60;21.03;44.7;26.5;37.1;44.7;13.2;1.7;0;11
Suriname;639850;156000;4;56.1;72.386;48.7;30.7;12;56;2.78;57.2;71.1;33.2;57.2;61.4;16.1;0.8;4
Sweden;10656633;410340;26;85.5;83.618;59.2;86.4;6;100;35.83;94.4;96.7;12.6;94.4;93.1;45.2;40;10
Switzerland;8967407;39516;227;94.4;84.494;63.6;79.9;9;97;34.92;90.3;97.4;6.9;90.3;92.4;55.7;100;13
Syria;25620427;183630;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tajikistan;10786734;139960;77;76.5;72.128;37.2;56.2;54;55;10.33;48.6;52.7;39.6;48.6;11.7;3.2;0.4;11
Tanzania;70545865;885800;80;38.1;66.942;81.1;35.2;15;11;13.04;69.9;66.9;45.1;69.9;39.3;2.8;0.3;6
Thailand;71619863;510890;140;78.1;78.1;65.8;72.6;25;100;278.5;81.1;63.8;42.7;81.1;38.1;18.8;3.5;9
Timor-Leste;1418517;14870;95;0;70.548;0;0;0;0;0;0;0;0;0;0;0;0;0
Togo;9721608;54390;179;40.4;62.674;55.1;33.4;25;19;2.34;66.1;69;31.4;66.1;35.8;1.8;0.1;5
Tonga;103742;720;144;0;71.538;0;0;0;0;0;0;0;0;0;0;0;0;0
Trinidad and Tobago;1511155;5130;295;80.5;74.158;54.3;30.7;36;99;36.13;56.1;69.9;29.4;56.1;59.9;24.8;6.8;12
Tunisia;12348573;155360;79;69.6;77.724;38.2;58.2;10;74;31.58;75.8;66.9;34.7;75.8;46.9;9.9;2.5;7
Turkey;87685426;769630;114;75.2;78.89;43.5;50.2;27;97;446.2;86.7;77.5;29.5;86.7;30.5;27.6;2.1;9
Turkmenistan;7618847;469930;16;75.8;68.874;43.5;40.9;26;95;82.99;30.7;59.3;34.4;30.7;5.8;10.3;2.1;11
Tuvalu;9492;30;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uganda;51384894;199810;257;36.4;64.964;65.6;27.9;31;19;5.79;72;68.8;32.1;72;30.2;1.8;0.2;6
Ukraine;38980376;579320;67;77.7;72.776;50.2;94.5;14;88;201.85;78.7;74.7;43.4;78.7;45.8;14.1;3.3;11
United Arab Emirates;11346000;83600;136;89.2;78.744;73.9;68.5;42;100;204.08;77.6;80.2;23.2;77.6;43.9;52.5;23.7;13
United Kingdom;69551332;241930;287;93.2;82.062;59.7;78.3;10;100;346.76;88.9;94.4;10.8;88.9;84.6;37.2;42.9;13
United States;347275807;9147420;38;90.5;79.398;57.4;59.9;7;98;5007.33;93.4;94.3;7.3;93.4;74.2;48.5;74.9;14
Uruguay;3384688;175020;19;75.6;78.726;55.2;59.5;9;100;6.74;81.1;77.8;41.1;81.1;78.9;29.3;11.5;9
Uzbekistan;37053428;425400;87;79.1;72.248;53.6;48.6;41;80;121.64;80.3;64.7;28.4;80.3;21.4;6.7;0;12
Vanuatu;335169;12190;27;0;71.266;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela;28516896;882050;32;0;72.864;0;0;0;0;0;0;0;0;0;0;0;0;0
Vietnam;101598527;310070;328;71.3;76.042;72.8;68.7;21;58;326.02;72.3;57.4;21.5;72.3;24.4;12;1.8;8
Yemen;41773878;527970;79;40;66.744;31.8;19.5;42;61;12.49;35.7;42.9;26.7;35.7;6.8;0;0.5;3
Zambia;21913874;743390;29;31.4;65.22;63.9;11.3;17;65;7.69;62.5;63.5;40.3;62.5;43.2;3.1;0.2;7
Zimbabwe;16950795;386850;44;41.9;62.668;79.4;28;13;63;11.29;69.7;55.2;64.3;69.7;24.7;3.5;0.7;9
